"Rank","Song","Artist","Year","Lyrics","Source"
"59","now or never","halsey","2017","i dont wanna fight right now know you always right now know i need you round with me but nobody waitin round with me been through the ups yeah the ups and the downs with me got a whole lot of love but you dont wanna spread it round with me yeah never pick up never call me you know were runnin out of time never pick up when you want me now i gotta draw a line baby i done done enough talking need to know that youre mine baby we done done enough talking gotta be right now right now baby gon love me now now now now now now now or never hey hey hey i want you to hold me down down down down down down down forever hey hey hey said you know i wanna keep you around round forever hey hey hey i want you to love me now now now now now now now or never im turnin off the light right now im callin it a night now wishin you were round with me but youre in a different town than me weve been through it all but you could never spit it out for me tryna talk to a wall but you could never tear it down for me yeah never pick up never call me you know were runnin out of time never pick up when you want me now i gotta draw a line baby i done done enough talking need to know that youre mine baby we done done enough talking gotta be right now right now baby gon love me now now now now now now now or never hey hey hey i want you to hold me down down down down down down down forever hey hey hey said you know i wanna keep you around round forever hey hey hey i want you to love me now now now now now now now or never yeah draw the line up dont take no more time up yeah make your mind up i need you to make your mind up yeah draw the line up dont take no more time up yeah baby you gotta decide something let me know baby gon love me now now now now now now now or never hey hey hey i want you to hold me down down down down down down down forever hey hey hey said you know i wanna keep you around round forever hey hey hey i want you to love me now now now now now now now or never","1"
"60","caroline","aminAC","2017","NA",""
"61","rolex","ayo teo","2017","NA",""
"62","dna","kendrick lamar","2017","i got i got i got i got loyalty got royalty inside my dna cocaine quarter piece got war and peace inside my dna i got power poison pain and joy inside my dna i got hustle though ambition flow inside my dna i was born like this since one like this immaculate conception i transform like this perform like this was yeshuas new weapon i dont contemplate i meditate then off your fucking head this that putthekidstobed this that i got i got i got i got realness i just kill shit cause its in my dna i got millions i got riches buildin in my dna i got dark i got evil that rot inside my dna i got off i got troublesome heart inside my dna i just win again then win again like wimbledon i serve yeah thats him again the sound that engine in is like a bird you see fireworks and corvette tire skrrt the boulevard i know how you work i know just who you are see yous a yous a yous a bitch your hormones prolly switch inside your dna problem is all that sucker shit inside your dna daddy prolly snitched heritage inside your dna backbone dont exist born outside a jellyfish i gauge see my pedigree most definitely dont tolerate the front shit ive been through prolly offend you this is paulas oldest son i know murder conviction burners boosters burglars ballers dead redemption scholars fathers dead with kids and i wish i was fed forgiveness yeah yeah yeah yeah soldiers dna born inside the beast my expertise checked out in second grade when i was 9 on cell motel we didnt have nowhere to stay at 29 ive done so well hit cartwheel in my estate and im gon shine like im supposed to antisocial extrovert and excellent mean the extra work and absentness what the fuck you heard and pessimists never struck my nerve and thats a riff gonna plead this case the reason my powers here on earth salute the truth when the prophet say i got loyalty got royalty inside my dna this is why i say that hip hop has done more damage to young african americans than racism in recent years i got loyalty got royalty inside my dna i live a better life im rollin several dice fuck your life i got loyalty got royalty inside my dna i live a better fuck your life 5 4 3 2 1 this is my heritage all im inheritin money and power the makin of marriages tell me somethin you mothafuckas cant tell me nothin id rather die than to listen to you my dna not for imitation your dna an abomination this how it is when youre in the matrix dodgin bullets reapin what you sow and stackin up the footage livin on the go and sleepin in a villa sippin from a grammy and walkin in the buildin diamond in the ceilin marble on the floors beach inside the window peekin out the window baby in the pool godfather goals only lord knows ive been goin hammer dodgin paparazzi freakin through the cameras eat at four daughters brock wearin sandals yoga on a monday stretchin to nirvana watchin all the snakes curvin all the fakes phone never on i dont conversate i dont compromise i just penetrate sex money murderthese are the breaks these are the times level number 9 look up in the sky 10 is on the way sentence on the way killings on the way motherfucker i got winners on the way you aint shit without a body on your belt you aint shit without a ticket on your plate you aint sick enough to pull it on yourself you aint rich enough to hit the lot and skate tell me when destruction gonna be my fate gonna be your fate gonna be our faith peace to the world let it rotate sex money murderour dna","1"
"63","juju on that beat tz anthem","zay hilfigerrr zayion mccall","2017","walk in the party girls looking at me skinny jeans on yeah u know my head nappy heyyy heyyy heyyy okayyy okayyy i want yall to do this dance now okay 1 ju ju on that beat now slide chop hit that boy no stop ayee no stopping ayee running man on that beat now do yo dance do yo dance do yo dance ayee you ugly do yo daddy son ayee ayee do yo dance ayee go crazy with it get freaky ayee let go","1"
"64","swang","rae sremmurd","2017","um its nasty uh its nasty uhmm know some young niggas like to swang uhmm know some young niggas like to swang know some young niggas like to swang know some young niggas like to swang know some young niggas like to swang big bank take little bank everday spillin up drank she want the whole crew shawty brave when the money talks what is there to say blow away watch it blow away when i die cant take it to the grave hop out drop top fuck yall talkin i need it right now cash in the air yeah what goes up gotta come down gettin dough aint a thing change coasting grippin grain goin through the money like a phase dont say my name in vain im so glad that you came all these bad bitches gettin slain broke ass nigga get a clue all these niggas know how we do know some young niggas like to swang know some young niggas like to swang big bank take little bank everday spillin up drank she want the whole crew shawty brave when the money talks what is there to say blow away watch it blow away when i die cant take it to the grave hop out drop top fuck yall talkin i need it right now cash in the air yeah what goes up gotta come down i know some young niggas from the bottom theyll do anything for a dollar i coulda went to school to be a doctor but i dropped out and chose to be a baller switchin lanes spittin game in my new drop still on a paper chase that dont ever stop everybody with me family thats how we rock party at the mansion we bout to flood the spot sremmlife know some young niggas like to swang know some young niggas like to swang big bank take little bank everday spillin up drank she want the whole crew shawty brave when the money talks what is there to say blow away watch it blow away when i die cant take it to the grave","1"
"65","passionfruit","drake","2017","hold on hold on fuck that fuck that shit hold on i got to start this mothafuckin record over again wait a minute fuck that shit still on this mothafuckin record ima play this mothafucka for yall ayy yall get some more drinks goin on ill sound a whole lot better listen seeing you got ritualistic cleansin my soul of addiction for now cause im fallin apart yeah tension between us just like picket fences you got issues that i wont mention for now cause were fallin apart passionate from miles away passive with the things you say passin up on my old ways i cant blame you no no passionate from miles away passive with the things you say passin up on my old ways i cant blame you no no listen hard at buildin trust from a distance i think we should rule out commitment for now cause were fallin apart leavin youre just doing that to get even dont pick up the pieces just leave it for now they keep fallin apart passionate from miles away passive with the things you say passin up on my old ways i cant blame you no no passionate from miles away passive with the things you say passin up on my old ways i cant blame you no no trying to think of the right thing to say","1"
"66","loyalty","kendrick lamar featuring rihanna","2017","i said im geeked and im fired up fired fire all i want tonight is just to get high up high high high girl you look so good its to die for die for ooh that pussy good its to die for on fire its a secret society all we ask is trust all we ask is trust all we got is us loyalty loyalty loyalty loyalty loyalty loyalty kung fu kenny now my resume is real enough for two millenniums a better way to make a wave stop defendin them i meditate and moderate all of my wins again im hangin on the fence again im always on your mind i put my lyric and my lifeline on the line and aint no limit when i might shine might grind you rollin with it at the right time right now only for the dollar sign bad gyal riri now swerve swerve swerve swerve deeper now on your pulse like a cdm gas in the bitch like its premium haul ass on a bitch all in the fast lane been a bad bitch way before any cash came im established hundred carats on my name run the atlas im a natural im alright im a savage im a asshole im a king shimmyyeah shimmyyeah shimmyyeah rock yeah you can tell your nigga he can meet me outside yeah you can babysit him when i leave him outside aint no other love like the one i know i done been down so long i slowed i done came down so hard i slowed i dont sleep forever all a real nigga want i said im geeked and im fired up fired fire all i want tonight is just to get high up yeah all i want is all i want is loyalty loyalty loyalty loyalty loyalty loyalty 104 no switchin sides feel somethin wrong you actin shifty you dont ride with me no more i need loyalty loyalty loyalty loyalty loyalty loyalty tell me who you loyal to is it money is it fame is it weed is it drink is it comin down with the loud pipes and the rain big chillin only for the power in your name tell me who you loyal to is it love for the streets when the lights get dark is it unconditional when the rari dont start tell me when your loyalty is comin from the heart tell me who you loyal to do it start with your woman or your man mmm do it end with your family and friends mmm or youre loyal to yourself in advance i said tell me who you loyal to is it anybody that you would lie for anybody you would slide for anybody you would die for thats what god for i said im geeked and im fired up fired fire all i want tonight is just to get high up all i want is all i want is loyalty loyalty loyalty loyalty loyalty loyalty 104 no switchin sides feel somethin wrong you actin shifty you dont ride with me no more i need loyalty loyalty loyalty loyalty loyalty loyalty its so hard to be humble its so hard to be lord knows im tryin lord knows im dyin baby","1"
"67","praying","kesha","2017","well you almost had me fooled told me that i was nothing without you oh and after everything youve done i can thank you for how strong i have become cause you brought the flames and you put me through hell i had to learn how to fight for myself and we both know all the truth i could tell ill just say this is i wish you farewell i hope youre somewhere praying praying i hope your soul is changing changing i hope you find your peace falling on your knees praying im proud of who i am no more monsters i can breathe again and you said that i was done well you were wrong and now the best is yet to come cause i can make it on my own and i dont need you i found a strength ive never known ive been thrown out ive been burned when im finished they wont even know your name you brought the flames and you put me through hell i had to learn how to fight for myself and we both know all the truth i could tell ill just say this is i wish you farewell i hope youre somewhere praying praying i hope your soul is changing changing i hope you find your peace falling on your knees praying oh sometimes i pray for you at night oh someday maybe youll see the light oh some say in life you gonna get what you give but some things only god can forgive i hope youre somewhere praying praying i hope your soul is changing changing i hope you find your peace falling on your knees praying","1"
"68","goosebumps","travis scott featuring kendrick lamar","2017","feat kendrick lamar produced by yung exclusive cubeatz cardo intro travis scott yeah 730 in the night ooooh ooh hook travis scott i get those goosebumps every time yeah you come around yeah you ease my mind you make everything feel fine worry about those comments im way too numb yeah its way too dumb yeah i get those goosebumps every time i need the heimlich throw that to the side yeah i get those goosebumps every time yeah when youre not around when you throw that to the side yeah i get those goosebumps every time yeah verse 1 travis scott 713 to the 281 yeah im riding why they on me why they on me im flyin sippin lowkey im sipping lowkey in onyx rider rider when im pullin up right beside ya popstar lil mariah when i text a cute game wildness throw a stack on the bible never snapchat or took molly she fall through plenty her and all her ginnies yeah we at the top floor right there off doheny oh no i cant fuck with yall yea when im with my squad i cannot do no wrong yeah saucing in the city dont get misinformed yea they gon pull up on you brr brr brr yeah we gon do some things some things you cant relate yeah cause we from a place a place you cannot stay oh you cant go oh i dont know oh back the fuck up off me brr brr brr hook travis scott i get those goosebumps every time yeah you come around yeah you ease my mind you make everything feel fine worry about those comments im way too numb yeah its way too dumb yeah i get those goosebumps every time i need the heimlich throw that to the side yeah i get those goosebumps every time yeah when youre not around when you throw that to the side yeah i get those goosebumps every time verse 2 kendrick lamar i want to press my like yeah i wanna press my i want a green light i wanna be like i wanna press my line yeah i want to take that ride yeah im gonna press my lime i wanna green light i wanna be like i wanna press my mama dear spare your feelings im reliving moments peeling more residual i can buy the building burn the building take your bitch rebuild the building just to fuck some more i can justify my love for you and touch the sky for god to stop debating war put the pussy on a pedestal put the pussy on a high horse that pussy to die for that pussy to die for peter piper picked a pepper so i could pick your brain and put your heart together we depart the shady parts and party hard the diamonds yours the coupe forever my best shots might shoot forever like brr hook travis scott i get those goosebumps every time yeah you come around yeah you ease my mind you make everything feel fine worry about those comments im way too numb yeah its way too dumb yeah i get those goosebumps every time i need the heimlich throw that to the side yeah i get those goosebumps every time yeah when youre not around when you throw that to the side yeah i get those goosebumps every time","1"
"69","cold","maroon 5 featuring future","2017","featuring future chorus adam levine cold enough to chill my bones it feels like i dont know you anymore i dont understand why youre so cold to me with every breath you breathe i see theres something going on i dont understand why youre so cold verse 1 adam levine are we taking time or a time out i cant take the inbetween asking me for space here in my house you know how to fuck with me acting like were not together after everything that weve been through sleeping up under the covers how am i so far away from you prechorus adam levine distant when were kissing feel so different baby tell me how did you get so chorus adam levine cold enough to chill my bones it feels like i dont know you anymore i dont understand why youre so cold to me with every breath you breathe i see theres something going on i dont understand why youre so cold yeah woah yeah woah yeah i dont understand why youre so cold verse 2 adam levine what you holdin on holdin on for if you wanna leave just leave why you wanna bite your tongue for the silence is killing me acting like were not together if you dont want this then whats the use sleeping up under the covers how am i so far away from you prechorus adam levine distant when were kissing feel so different baby tell me how did you get so chorus adam levine cold enough to chill my bones it feels like i dont know you anymore i dont understand why youre so cold to me with every breath you breathe i see theres something going on i dont understand why youre so cold yeah postchorus adam levine future woah yeah woah yeah i dont understand why youre so cold yeah so fuck this cold world woah yeah so fuck this cold world woah yeah so fuck this cold world i dont understand why youre so cold verse 3 future never thought that you were like this i took the tag off and made you priceless i just spent half a mill on a chandelier now you tryna cut me off like a light switch yeah tryna stay and i leave saying that you need some time to breath thinking that im sleeping on the four letter word but the four letter word dont sleep we goin two separate ways you aint been actin the same you gotta go but where your heart used to be you gold dig every day i switched the four door to the two door cause i cant let my driver hear what you say girl i tried to give you space baby tell me how did you get so chorus adam levine cold enough to chill my bones it feels like i dont know you anymore i dont understand why youre so cold to me with every breath you breathe i see theres something going on i dont understand why youre so cold postchorus adam levine future so fuck this cold world woah yeah so fuck this cold world woah yeah so fuck this cold world i dont understand why youre so cold yeah so fuck this cold world woah yeah so fuck this cold world woah yeah so fuck this cold world i dont understand why youre so cold","1"
"70","broccoli","dram featuring lil yachty","2017","aint no telling what im finna be on im beyond all that fuck shit hey little mama would you like to be my sunshine nigga touch my gang we gon turn this shit to columbine ice on my neck cost me 10 times 3 30 000 dollars for a nigga to get flee i just hit rodeo and i spent like 10 gs i just did a show and spent the check on my mama when i go on vacay i might rent out the bahamas and i keep like 10 phones damn im really never home all these niggas clones tryna copy what im on nigga get your own tryna pick a nigga bone way to brother skip boy i had a good day metro pcs trapping boy im making plays 50 shades of grey beat that pussy like hulk hogan i know you know my slogan if i aint bout guap im gone niggas hating cause im chosen from the concrete that i rose shawty staring at my necklace cause my diamonds really froze put that dick up in her pussy bet she feel it in her toes im a real young nigga from the 6 throwing bows im a real young nigga from the 6 throwing bows real young nigga from the 6 throwing bows in the middle of the party bitch get off me in the cut im rolling up my broccoli ya i know your baby mama fond of me all she want to do is smoke that broccoli whispered in my ear she trying to leave with me said that i can get that pussy easily said that i can hit that shit so greasily im a dirty dog i did it sleazily aint no telling what im finna be on im beyond all that fuck shit aint no telling what im finna be on im beyond all that fuck shit i got companies and pesos i got people on my payroll she dont do it less i say so i dont smoke if it aint fuego i just sauce em up like prego fettucini with alfredo all i wanted was the fame and every game they made on sega i was 5 or 6 years old when i had told myself ok youre special but i treat you like my equal never lesser i was 26 years old when we had dropped this one amazing record had the world stepping thats what i call epic couple summers later i got paper i acquired taste for salmon on a bagel with the capers on a square plate at the restaurant with the why you got to stare face to know i either ball or i record over the snare and bass rapper face dread headed golden diamond teeth wearing they just mad cause i got that cheese bitch i keep dairy turned up in the party getting lit to yachty with a spanish barbie word to my mommy in the middle of the party bitch get off me in the cut im rolling up my broccoli ya i know your baby mama fond of me all she want to do is smoke that broccoli whispered in my ear she trying to leave with me said that i can get that pussy easily said that i can hit that shit so greasily im a dirty dog i did it sleazily","1"
"71","slide","calvin harris featuring frank ocean and migos","2017"," i might empty my bank account and buy that boy with a pipe buy that boy with a pipe i might i might empty my bank account and buy that boy with a pipe buy that boy with a pipe i might do you slide on all your nights like this do you try on all your nights like this i might put some spotlight on the slide whatever comes comes through clear do you slide on all your nights like this do you try on all your nights like this i might put some spotlight on the side and whatever comes comes through clear all this jewelry aint no use when its this dark its my favorite part we see the lights they got so far it went too fast we couldnt reach it with our arms wrist on a wrist a link of charms yeah laying were still a link apart its like we could die here all young like we could dye hair all blonde if we could see in twenty twin twice we could see it til the end put that spotlight on her face spotlight put that spotlight on her face ah yeah we gon pipe up and turn up pipe up we gon light up and burn up burn up mama too hot like a like what mama too hot like a furnace furnace i got a hundred gs in my goyard gs my diamonds gon shine when the lights dark shine you and i take a ride down the boulevard yeah and your friends really wanna break us apart good lord offset good gracious starin at my diamonds while im hoppin out a spaceship need your information take vacation to malaysia info you my baby the paparazzi flashin crazy she swallowed the bottle while i sit back and smoke gelato walk in my mansion twenty thousand painting picasso bitches be dippin dabbin with niggas like a nacho took off her panties diamonds dancin like rick ricardo she havin it went to college workin on her bachelor i know you got a past i got a past thats in the back of us average ima make a million on the average im ridin with no brain bitch im out of it do you slide on all your nights like this do you try on all your nights like this i might put some spotlight on the slide whatever comes comes through clear do you slide on all your nights like this do you try on all your nights like this put some spotlight on the side and whatever comes comes through clear i might i might empty my bank account ooh and buy that boy with a pipe ooh yeah buy that boy with a pipe i might i might slide empty my bank account ooh slide and buy that boy with a pipe slide yeah do you slide on all your nights like this buy that boy with a pipe i might","2"
"72","what ifs","kane brown featuring lauren alaina","2017","verse 1 you say what if i hurt you what if i leave you what if i find somebody else and i dont need you what if this goes south what if i mess you up you say what if i break your heart in two then what prechorus well i hear you girl i feel you girl but not so fast before you make your mind up i gotta ask chorus what if i was made for you and you were made for me what if this is it what if its meant to be what if i aint one of them fools just playin some game what if i just pulled you close what if i leaned in and the stars line up and its our last first kiss what if one of these days baby id go and change your name what if i loved all these what ifs away verse 2 what if the sky falls sky falls or the sun stops burnin we could worry about them what ifs til the world stops turnin or i could kiss you you should kiss me what if you liked it but id like it well we aint never gonna know unless we try it chorus what if i was made for you and you were made for me what if this is it what if its meant to be what if i aint one of them fools just playin some game what if i just pulled you close what if i leaned in and the stars line up and its our last first kiss what if one of these days baby id go and change your name what if i loved all these what ifs away awe yeah cmon bridge you say what if i hurt you what if i leave you what if i find somebody else and i dont need you damn chorus what if i was made for you and you were made for me what if this is it what if its meant to be what if i aint one of them fools just playin some game what if i just pulled you close what if i leaned in and the stars line up and its our last first kiss what if one of these days baby id go and change your name what if i loved all these what ifs away outro away away what if","1"
"73","chained to the rhythm","katy perry featuring skip marley","2017","feat skip marley are we crazy living our lives through a lens trapped in our white picket fence like ornaments so comfortable were living in a bubble bubble so comfortable we cannot see the trouble trouble arent you lonely up there in utopia where nothing will ever be enough happily numb so comfortable were living in a bubble bubble so comfortable we cannot see the trouble trouble so put your rosecolored glasses on and party on turn it up its your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think were free drink this one is on me were all chained to the rhythm to the rhythm to the rhythm turn it up its your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think were free drink this one is on me were all chained to the rhythm to the rhythm to the rhythm are we tone deaf keep sweeping it under the mat thought we could do better than that i hope we can so comfortable were living in a bubble bubble so comfortable we cannot see the trouble trouble so put your rosecolored glasses on and party on turn it up its your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think were free drink this one is on me were all chained to the rhythm to the rhythm to the rhythm turn it up its your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think were free drink this one is on me were all chained to the rhythm to the rhythm to the rhythm it is my desire break down the walls to connect inspire ay up in your high place liars time is ticking for the empire the truth they feed is feeble as so many times before they greed over the people they stumbling and fumbling and were about to riot they woke up they woke up the lions woo turn it up its your favorite song dance dance dance to the distortion come on turn it up keep it on repeat stumbling around like a wasted zombie yeah we think were free drink this one is on me were all chained to the rhythm to the rhythm to the rhythm turn it up turn it up it goes on and on and on it goes on and on and on it goes on and on and on cause were all chained to the rhythm","1"
"74","feels","calvin harris featuring pharrell williams katy perry and big sean","2017","now nothing ever last forever no one minute youre here and the next youre gone so i respect you wanna take it slow i need a mental receipt to know this moment at all do you mind if i steal a kiss chop chop a little souvenir can i steal it from you to memorize the way you shock me the way you move it here hey just wanna feel it from you hey dont be afraid to catch feels ride drop top and chase thrills hey i know you aint afraid about this hey baby i know you aint scared to catch feels feels with me im your window shopper suck off of your novel unwind off your goggles virtual virtual reality it aint what it cost you it might be a dollar as long as it shocks you memory electricity do you mind if i steal a kiss chop chop a little souvenir can i steal it from you oh yeah to memorize the way you shock me yeah the way you move it here hey just wanna feel it from you hey dont be afraid to catch feels ha ride drop top and chase thrills ohohoh oh i know you aint afraid about this hey baby i know you aint scared to catch feels straight up feels with me woah goddamn i know you love to make an entrance do you like getting paid or getting paid attention you mixed the wrong guys with the right intentions in the same bed but it still feel long distance shes looking for a little more consistency but when you stop looking you gon find whats meant to be and honestly im way too done with the hoes i cut off all my exes for your x and os i feel my old flings was just preparing me when i say i want you say it back parakeet fly in firstclass through the air airbnb im the best you had you just be comparing me to me imma at this at you if i put you on my phone and upload it itll get maximum views i came in through in the clutch with the lipsticks and phones wear your fave cologne just to get you alone dont be afraid to catch feels dont be afraid to catch these feels ride drop top and chase thrills yeah i know you aint afraid about this i know baby i know you aint scared to catch feels woah woah woah feels with me dont be afraid to catch feels no no dont be afraid baby ride drop top and chase thrills woah okay i know you aint afraid about this i know i know i know i know baby i know you aint scared to catch feels feels with me","1"
"75","all time low","jon bellion","2017","feat travis mendes verse 1 i was the knight in shining armor in your movie would put your lips on mine and love the aftertaste now im a ghost i call your name you look right through me youre the reason im alone and masturbate prehook i ive been trying to fix my pride but that shits broken that shits broken lie lie lie lie llie i try to hide but now you know it hook that im at an all time low low low low low low low low low low low low low low low low low low x4 verse 2 i was the prototype like 3 stacks on that cd an example of the perfect candidate now all your girlfriends say that you dont want to see me youre the reason that i just cant concentrate prehook i yeah ive been trying to fix my pride but that shits broken that shits broken lie lie lie lie llie i try to hide but now you know it hook that im at an all time low low low low low low low low low low low low low low low low low low x4 bridge i yeah ive been trying to fix my pride but that shits broken that shits broken lie lie lie lie llie i try to hide but now you know it that im at an all time low low low low low low low low low low low low low low low low low low low low low low low low low low low low low low low low lie llie i try to hide but now you know it that im at an all time hey hook low low low low low low low low low low low low low low low low low low x4","1"
"76","hurricane","luke combs","2017"," hadnt had a good time since you know when got talked into goin out with hopes you were stayin in i was feeling like myself for the first time in a long time till i bumped into some of your friends over there talkin to mine then you roll in with your hair in the wind baby without warning i was doin alright but just your sight had my heart stormin the moon went hiding stars quit shining rain was dropping thunder n lightning you wrecked my whole world when you came and hit me like a hurricane you hit me like a hurricane knew it was gonna be a long night from the moment when we locked eyes over whiskey on ice talkin bout us again if i woulda just layed my drink down and walked out i wouldnt be in my truck driving us to your house but you rolled in with your hair in the wind baby without warning i was doin alright but just your sight had my heart storminthe moon went hiding stars quit shining rain was dropping thunder n lightning you wrecked my whole world when you came and hit me like a hurricane you hit me like a hurricane yeah we go to five with your smile blew me away and girl it aint but midnight she gon kill the lights bring my heart back to your bedside then you roll in with your hair in the wind baby without warning i was doin alright but just your sight had my heart stormin the moon went hiding stars quit shining rain was dropping thunder n lightning you wrecked my whole world when you came and hit me like a hurricane you hit me like a hurricane hit me like a hurricane","2"
"77","too good at goodbyes","sam smith","2017","you must think that im stupid you must think that im a fool you must think that im new to this but i have seen this all before im never gonna let you close to me even though you mean the most to me cause every time i open up it hurts so im never gonna get too close to you even when i mean the most to you in case you go and leave me in the dirt and every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less i love you baby we dont stand a chance its sad but its true im way too good at goodbyes im way too good at goodbyes im way too good at goodbyes im way too good at goodbyes i know youre thinkin im heartless i know youre thinkin im cold im just protectin my innocence im just protectin my soul im never gonna let you close to me even though you mean the most to me cause every time i open up it hurts so im never gonna get too close to you even when i mean the most to you in case you go and leave me in the dirt and every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less i love you baby we dont stand a chance its sad but its true im way to good at goodbyes im way to good at goodbyes im way too good at goodbyes im way too good at goodbyes no way that youll see me cry no way that youll see me cry im way too good at goodbyes im way too good at goodbyes no no no no no no im way too good at goodbyes no no no no no no no im way too good at goodbyes no way that youll see me cry im way too good at goodbyes cause every time you hurt me the less that i cry and every time you leave me the quicker these tears dry and every time you walk out the less i love you baby we dont stand a chance its sad but its true im way too good at goodbyes","1"
"78","young dumb broke","khalid","2017"," produced by joel little verse 1 so youre still thinking of me just like i know you should i can not give you everything you know i wish i could im so high at the moment im so caught up in this yeah were just young dumb and broke but we still got love to give chorus while were young dumb young young dumb and broke young dumb young young dumb and broke young dumb young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids verse 2 we have so much in common we argue all the time you always say im wrong im pretty sure im right whats fun about commitment when we have our life to live yeah were just young dumb and broke but we still got love to give chorus while were young dumb young young dumb and broke young dumb young young dumb and broke young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids bridge jump and we think do it all in the name of love love run into sin do it all in the name of fun fun whoaoaoa im so high at the moment im so caught up in this yeah were just young dumb and broke but we still got love to give chorus while were young dumb young young dumb and broke young dumb young young dumb and broke young dumb young dumb young young dumb and broke young dumb broke high school kids yadadadadadadada yadadadadadada yadadadadadadada young dumb broke high school kids","1"
"79","magnolia","playboi carti","2017","yo pierre you wanna come out here in new york i milly rock hide it in my sock running from an opp then i shoot at opp and im on the block and im on the block in new york i milly rock hide it in my sock hide in my sock selling that rerock in new york i milly rock hide it in my sock used to sell rerock running from the cops shooting at the opps yo pierre you wanna come out here shooting at the opps cause i run they block gimme top top in my drop top all these hoes gon flock flock when i drop drop all these hoes gon flock flock when i drop drop all these hoes gon flock flock when i drop woo woo woo woo woo woo woo woo woo all these hoes want cash all these hoes want bags fucking on yo bitch uh im her dad all these niggas sound like cash sound like cash im a soldier damn i thought i told you shootin like a soldier like im from magnolia all these niggas all these foes big bank never fold sippin ac man that shit slow me bitches on me say she like my clothes im in london young carti global designer is on me call it dirty laundry all these bitches want young carti young carti yeah young carti young carti what young carti young carti yeah all of your bitches they loose all of your bitches they loose all of my bitches is rich and they stay rockin that rick huh rich bitch cash carti bitch rich bitch got a rich clique she suckin on the clique she suckin on the dick give that hoe a tip told her buy some kicks then i brush my teeth pop up in a whip glocky in the whip glocky in the whip and im cocky fuckin on a thotty she just wanna top me bitch cant stop me im riding in a mase this aint even my mase oh thats not yo thotty yo bitch look like a aunty walked in with ashanti damn that look like carti damn that look like carti i think dat be young carti heard he spent a hunnid on a fucking watch piece thats filthy in new york i milly rock hide it in my sock running from an opp then i shoot at opp and im on the block and im on the block in new york i milly rock hide it in my sock hide in my sock selling that rerock in new york i milly rock hide it in my sock use to sell rerock running from the cops shooting at the opps yo pierre you wanna come out here","1"
"80","love galore","sza featuring travis scott","2017"," i need i need i need i need i need i need i need i need i need i need love love love love long as we got love love love long as we got done with these niggas i dont love these niggas i dust off these niggas do it for fun dont take it personal personally im surprised you called me after the things i said skrrt skrrt on niggas skirt up on niggas skirt down you acting like me acting like we was more than just some old fling i said farewell you took it well promise i wont cry over spilled milk ooh no i wont gimme a paper towel gimme another valium gimme another hour or two hour with why you bother me when you know you dont want me why you bother me when you know you got a woman why you hit me when you know you know better know you know better know your crew better than you do call me looking for ya yeah i be looking for ya yeah got me looking forward to weekends with you baby with you baby with you baby with you we do whatever we want go wherever we want love however we want it dont matter youll do whatever i want get whatever i want get whatever i need its about love love love love long as we got love love love long as we got shouldve never gave you my number i did it with you shouldve never let you hit it i split it with you i regret it you gots a fetish you gots a problem now its a problem oh no skrrt skrrt on bitches dont know these bitches dig dirt on bitches do it for fun dont take it personal baby love em all lately luh love to my ladies dated a few why you bother me why you bother me why you bother me last time i checked you were the one that left me in a wreck me in a mess you all i rep like my side i rep thats that mo city that side that you cant come round at night yeah you like to get me high you dont want no one beside ya you like when i make fire you say la flame can make you fly yeah make you fly yeah let me cum inside ya let me plant that seed inside yeah ass and titties titties only thing that stuck with me with me only thing that was real only thing i could feel you feel me feel me so why you bother me why you bother me tryna catch a pov tryna catch a pov nah oh love love love love long as we got love love love long as we got we got oh i came to your city lookin for lovin n licky cause you promised to put it down all up in your city lookin for you oh searchin for your light oh only thing keeping me from jumpin you right now right now love only thing keepin me by your side only thing keepin me by your side now","2"
