Rank,Song,Artist,Year,Lyrics,Source,Total Words,Unique Words
79,wildest dreams,taylor swift,2016,he said lets get out of this town drive out of the city away from the crowds i thought heaven cant help me now nothing lasts forever but this is gonna take me down hes so tall and handsome as hell hes so bad but he does it so well i can see the end as it begins my one condition is say youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just in your wildest dreams ahha wildest dreams ahha i said no one has to know what we do his hands are in my hair his clothes are in my room and his voice is a familiar sound nothing lasts forever but this is getting good now hes so tall and handsome as hell hes so bad but he does it so well and when weve had our very last kiss my last request he is say youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just in your wildest dreams ahha wildest dreams ahha you see me in hindsight tangled up with you all night burning it down someday when you leave me i bet these memories follow you around youll see me in hindsight tangled up with you all night burning it down someday when you leave me i bet these memories follow you around say youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just pretend say youll remember me standing in a nice dress staring at the sunset babe red lips and rosy cheeks say youll see me again even if its just in your just pretend just pretend wildest dreams ahha in your wildest dreams ahha even if its just in your wildest dreams ahha in your wildest dreams ahha,1,338,114
80,middle,dj snake featuring bipolar sunshine,2016,feat bipolar sunshine produced by dj snake verse 1 staring at two different views on your window ledge coffee is going cold its like time froze there you go wishing floating down our wishing well its like im always causing problems causing hell i didnt mean to put you through this i can tell we cannot sweep this under the carpet chorus i hope that i can turn back the time to make it all alright all alright for us ill promise to build a new world for us two with you in the middle break with you in the middle with you in the middle verse 2 lying down beside you whats going through your head the silence in the air felt like my soul froze am i just overthinking feelings i conceal this gut feeling im tryna get off me as well i hope we find our missing pieces and just chill we cannot sweep it under the carpet chorus i hope that i can turn back the time to make it all alright all alright for us ill promise to build a new world for us two with you in the middle break with you in the middle with you in the middle with you outro you thank the children just thank the children you thank the children just thank the children,1,225,105
81,on my mind,ellie goulding,2016,its a little blurry how the whole thing started i dont even really know what you intended though that you were cute and you could make me jealous poured it down so i poured it down next thing that i know im in a hotel with you you were talking deep like it was mad love to you you wanted my heart but i just liked your tattoos poured it down so i poured it down and now i dont understand it you dont mess with love you mess with the truth and i know i shouldnt say it but my heart dont understand why i got you on my mind why i got you on my mind why i got you on my mind why i got you on my mind but my heart dont understand why i got you on my mind why i got you on my mind why i got you on my mind why i got you on my mind i always hear always hear them talking talking bout a girl bout a girl with my name saying that i hurt you but i still dont get it you didnt love me no not really wait i could have really liked you ill bet ill bet thats why i keep on thinking bout you its a shame you said i was good so i poured it down so i poured it down and now i dont understand it you dont mess with love you mess with the truth and i know i shouldnt say it but my heart dont understand why i got you on my mind why i got you on my mind why i got you on my mind why i got you on my mind but my heart dont understand why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my miiiiind you got yourself in a dangerous zone cause we both have the fear fear of being alone and i still dont understand it you dont mess with love you mess with the truth and my heart dont understand it understand it understand it why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my mind but my heart dont understand why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my mind you think you know somebody why i got you on my mind but my heart dont understand why i got you on my mind you think you know somebody you think you know somebody why i got you on my mind you think you know somebody uh uh uh uh,1,513,97
82,pop style,drake featuring the throne,2016, produced by sevn thomas frank dukes hook drake dropped outta school now we dumb rich dumb rich this sound like some fortythreeohone shit one shit all my niggas wanna do is pop style pop style turn my birthday into a lifestyle lifestyle verse 1 drake tell my mom i love her if i do not make it do not make it got so many chains they call me chaining tatum they do they do and i like to finish what you think you started man you boys just got to hollywood you boys just started you dont know what you just started all i do is hang with the young and heartless all this for my family man i try my hardest its all i ever did and look where it got him yeah youve been on my mind lately youve still got my number girl you need to call me i feel like they wanna see me learn the hard way but you know i always handle that one my way girl let me rock rock rock rock rock your body justin timberlake and then i hit the highway i cant trust no fuckin body they still out to get me cause they never got me verse 2 drake they still out to get me i dont get it i can not be got and thats a given give a real nigga the number one even though i got like twentyone cannot be me im a oneofone schooling your ass like 101 they been out here tryna slide on me they been out here telling lies on me everybody looking out for themself but they still got they eyes on me see me putting in the hard work now aye momma doesnt have to call work now aye i decide when i start work now aye problems hit the gym they all work out mvp mvp ohnine all the way to sixteen even next season looking like a breeze lot of yall aint built for the league yeah trade you off the team while you in your sleep yeah yall showed me that nothings guaranteed and you dont know what you started my friends chain so big that he look like the artist i cant trust no fuckin body they still out to get me cause they never got me hook drake dropped outta school now we dumb rich dumb rich this sound like some fortythreeohone shit one shit all my niggas wanna do is pop style pop style turn my birthday into a lifestyle lifestyle,1,428,183
83,when we were young,adele,2016,everybody loves the things you do from the way you talk to the way you move everybody here is watching you cause you feel like home youre like a dream come true but if by chance youre here alone can i have a moment before i go cause ive been by myself all night long hoping youre someone i used to know you look like a movie you sound like a song my god this reminds me of when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realized we were sad of getting old it made us restless it was just like a movie it was just like a song i was so scared to face my fears cause nobody told me that youd be here and i swore you moved overseas thats what you said when you left me you still look like a movie you still sound like a song my god this reminds me of when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realized we were sad of getting old it made us restless it was just like a movie it was just like a song when we were young when we were young when we were young when we were young its hard to win me back everything just takes me back to when you were there to when you were there and a part of me keeps holding on just in case it hasnt gone i guess i still care do you still care it was just like a movie it was just like a song my god this reminds me of when we were young when we were young when we were young when we were young when we were young let me photograph you in this light in case it is the last time that we might be exactly like we were before we realized we were sad of getting old it made us restless im so mad im getting old it makes me reckless it was just like a movie it was just like a song when we were young,1,387,114
84,hide away,daya,2016,boys seem to like the girls who laugh at anything the ones who get undressed before the second date girls seem to like the boys who dont appreciate all the money and the time that it takes to be fly as a mother got my both eyes out for mr right guessing i just dont know where to find em but i hope they all come out tonight hey where do the good boys go to hide away hide away im a good good girl who needs a little company looking high and low someone let me know where do the good boys go to hide away hide away boys seem to like the girls who like to kiss and tell talking them up about the things they do so well but id rather find a boy who is down for the chase putting in the time that it takes to be fly as a mother hey to supply all of my hearts demands suit and tie cause under cover hes gonna save my life like superman hey where do the good boys go to hide away hide away im a good good girl who needs a little company looking high and low someone let me know where do the good boys go to hide away hide away tell me where the good boys go tell me where the good boys go tell me where the good boys go wont somebody tell me tell me tell me where the good boys go tell me where the good boys go tell me where the good boys go tell me where the good boys go hey where do the good boys go to hide away hide away im a good good girl who needs a little company looking high and low someone let me know where do the good boys go to hide away hide away hey hide away hide away hide away hide away looking high and low someone let me know where do the good boys go to hide away hide away hey,1,343,100
85,lean on,"major lazer and dj snake featuring mA,",2016,do you recall not long ago we would walk on the sidewalk innocent remember all we did was care for each other but the night was warm we were bold and young all around the wind blows we would only hold on to let go chorus x2 blow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean on what will we do when we get old will we walk down the same road will you be there by my side standing strong as the waves roll over when the nights are long longing for you to come home all around the wind blows we would only hold on to let go chorus x2 blow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean on all we need is somebody to lean on all we need is somebody to lean on lean on lean on lean on lean on chorus x2 blow a kiss fire a gun we need someone to lean on blow a kiss fire a gun all we need is somebody to lean on ,1,207,73
86,i know what you did last summer,shawn mendes and camila cabello,2016,ahah heey ahah ahah ahah heey ahah ahah he knows dirty secrets that i keep does he know its killing me he knows he knows dddoes he know anothers hands have touched my skin i wont tell him where ive been he knows he knows he knows its tearing me apart shes slipping away im slipping away am i just hanging on to all the words she used to say the pictures on her phone shes not coming home im not coming home coming home coming home i know what you did last summer ahah just lied to me theres no other heey i know what you did last summer tell me where youve been i know what you did last summer ahah look me in the eyes my lover heey i know what you did last summer tell me where youve been i know i know i know i know i know i know i know ahah heey i know i know i know i know i know i know i know ahah ahah i didnt mean it no i didnt mean it mean it no ahah heey cant seem to let you go cant seem to hold you close i know when she looks me in the eyes they dont seem as bright no more no more i know that she loved me at one time would i promise her that night cross my heart and hope to die its tearing me apart its tearing me apart shes slipping away im slipping away am i just hanging on to all the words she used to say the pictures on her phone the pictures on my phone shes not coming home im not coming home oh na na na yeah i know what you did last summer ahah just lied to me theres no other heey i know what you did last summer tell me where youve been i know what you did last summer ahah look me in the eyes my lover heey i know what you did last summer tell me where youve been i know i know i know i know i know i know i know i know i know i know i know i know i know i know no no no cant seem to let you go cant seem to keep you close hold me close cant seem to let you go cant seem to keep you close you know i didnt mean it though tell me where youve been lately tell me where youve been lately just hold me close tell me where youve been lately tell me where youve been lately dont dont dont dont let me go cant seem to keep you close cant seem to let you go i didnt mean it though i know you didnt mean it though i know you didnt mean it though i dont wanna let you go tell me you didnt mean it though tell me you didnt mean it though no no no cant seem to let you go seem to let you go i know you didnt mean it though i wanna know you mean it though hold me close i know you didnt mean it though i know you didnt mean it though just hold me close i cant seem to let you go cant seem to hold you close i know what you did last summer ahah just lied to me theres no other heey i know what you did last summer tell me where youve been i know what you did last summer ahah look me in the eyes my lover heey i know what you did last summer tell me where youve been i know i know i know i know i know i know i know ahah heey i know i know i know i know i know i know i know ahah ahah i know i know i know i know i know i know i know ahah heey i know i know i know i know i know i know i know ahah ahah i know,1,682,98
87,all the way up,fat joe remy ma and jay z featuring french montana and infared,2016,feat infared french montana produced by cool dre edsclusive hook infared nothin can stop me im all the way up all the way up im all the way up im all the way up nothin can stop me im all the way up bridge french montana infared shorty what you want shorty what you need my niggas run the game we aint ever leavin countin up this money we aint never sleepin you got v12 i got 12 vs got bottles got weed got molly im all the way up shorty what you want i got what you need shorty what you want i got what you need shorty what you want i got what you need hook infared im all the way up im all the way up im all the way up all the way up nothin can stop me im all the way up verse 1 fat joe for my niggas with bentley coupes and rolexes kicked the bitch out the room and gave her no breakfast had to stash the jewels these bitches so reckless keep my hoes on cruise im talkin naughty nothings shorty uptown showin off her new things couldnt take it all so i gave her un chin she call me top shotta yeah i keep a few tings champion sound yeah i got a few rings and im all the way up and you can stay up and if you ask anybody where i live theyll point to the hills and say go all the way up go all the way up hook infared im all the way up im all the way up nothin can stop me im all the way up verse 2 remy ma just left the big house to a bigger house aint have a girlfriend but the bitch is out chanel croc bag shit aint even out with the gold chains himalayan birkin cocaine lit it up pac shit i hit em up im talkin color money purple yen and blue dirham i got brown lira i aint talkin bout ross bitch im that nigga on viagra dick that means im all the way up and you can stay up pos say i cant get high hopped in the helicopter uber and said go all the way up go all the way up hook infared im all the way up im all the way up nothin can stop me im all the way up bridge french montana infared shorty what you want shorty what you need my niggas run the game we aint ever leavin countin up this money we aint never sleepin you got v12 i got 12 vs got bottles got weed got molly im all the way up shorty what you want i got what you need shorty what you want i got what you need shorty what you want i got what you need hook infared im all the way up im all the way up im all the way up im all the way up nothin can stop me im all the way up all the way up im all the way up im all the way up nothin can stop me im all the way up,1,535,160
88,watch me,silentA3,2016,NA,,0,0
89,back to sleep,chris brown,2016,girl lemme fuck you back girl lemme fuck you back i know its late i know its late and baby i cant focus focus i just flew in in time the day im hoping that you notice notice notice notice did you notice i just posted my landing oh oh wondering if the same old understanding stands i know you gotta work pretty early early ill be around bout 3 30 3 30 so baby when i wake you up up up just let me rock fuck you back to sleep girl oh dont say a word no no dont you talk oh yeah just hold on tight to me girl fuck you back to sleep girl rock you back now where you at just dropped my bags im coming through to meet ya oh yeah to meet you ohwoah i know youre almost half asleep but you know how much i need ya need ya bae girl i need ya need ya baby go n gimme that spare key oh but if you keep the door unlocked be ready uh oh i know you gotta work pretty early early ill be around by 3 30 3 30 so baby when i wake you up up up up up just let me rock imma fuck you back to sleep girl oh dont say a word no no dont you talk baby just hold on tight to me girl oh fuck you back to sleep girl ow rock you back aint sorry that i woke ya woah i aint sorry bout ya job no call sick in the morning so i can get a little bit more of your love hey i know you want me and you feel me feel me cause you never disagree so when you wake from your sleep girl just let me rock and let me love you baby oh yeah fuck you back to sleep girl oh dont say a word no girl dont you talk yeah just hold on tight to me girl fuck you back to sleep girl rock you back aint sorry that i woke ya yeah i aint sorry bout ya job fuck you back to sleep girl call sick in the morning so i can get a little bit more of your love rock you back aint sorry that i woke ya yeah aint sorry bout ya job fuck you back to sleep girl call sick in the morning so i can get a little bit more of your love,1,420,118
90,no limit,usher featuring young thug,2016,feat young thug produced by christopher perry brandon bam hodges hook usher make you say uh no limit got that master p no limit baby give you that black card no limit just know when you roll with a nigga like me theres no limit baby make you say uh no limit i c murmur murder that no limit baby give you that ghetto d girl no limit just know when you roll with a nigga like me theres no limit baby verse 1 usher you know you fine baby you know that you fine im just tryna make you mine tryna make you mine yeah im tryna make you mine put a tingle in your spine we got to vibe we got a wave you should ride on it all the places i could take you girl is limitless so if you never been girl i would just love to take you there you dont have to worry bout a thing i got it let me show you better than prehook usher cause i may not know you just let me hold you you be my soldier and you from the nolia hook usher make you say uh no limit got that master p no limit baby give you that black card no limit just know when you roll with a nigga like me theres no limit baby make you say uh no limit i c murmur murder that no limit baby give you that ghetto d girl no limit just know when you roll with a nigga like me theres no limit baby verse 2 usher cars on decline baby the cars on decline you roll with me you miss shine baby we shine yeah lil mama we shine just pick a destination go head show me you can get like everything show me like any car any house baby you can get like any ring anything you knock it knock it down all through the night all through the day yeah i knock that pussy out baby you call me sugar ray yeah prehook usher cause i may not know you just let me hold you you be my soldier and you from the nolia hook usher make you say uh no limit got that master p no limit baby give you that black card no limit just know when you roll with a nigga like me theres no limit baby make you say uh no limit i c murmur murder that no limit baby give you that ghetto d girl no limit just know when you roll with a nigga like me theres no limit baby verse 3 young thug you finer than wine baby girl i aint lying make my homie drop a dime commit a crime jeopardize my lifeline just to see your vital signs aint no limit babe we do it larger aint no limit babe when you a starter marta outsmart the rari rari fill the session with bacardi barbies kerosene kerosene promise spin washing machine thin waisted primadonna never limit im a stunner tinted out them never rentals fuck them boys they all beginners prolly seen and wrecked em ima spend my night with dem i could put karats all over you karats all over you never mind we only poppin shit man i been getting high with these fools and she said all her friends fake so she solo rocking and she a real bad bad bitch she aint gotta photoshop it hook usher uh no limit i c murmur murder that no limit baby give you that ghetto d girl no limit just know when you roll with a nigga like me theres no limit baby,1,617,198
91,cut it,ot genasis featuring young dolph,2016, cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it run up them bands on the regular hittin my plug on the celly yeah tell my ex bitch that im sorry im a skate off in the rar i keep 36 by my side im a go bake me a pie keep 45 on my side fuck with my niggas you die all of my niggas say blood all of my niggas say cuh ot i found me a plug i got it straight out the mud keep it a hundred no budge i fell in love with the drugs bustin it down in the tub pay me my money in dubs water whippin lookin like im fishin baseball in kitchen with my arm im pitchin rolie on its glistenin now my doner kissin niggas steady trippin so im steady grippin dirty money on me got a scale up on me i dont fuck with phony bout to sell a pony all these niggas on me all these bitches on me say my price is good motherfucker show me cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it went and bought a 911 with my trap money a million up but still aint never touch my rap money im out in la fuckin with that boy ot flew to la got a plug on that og you know ive been gettin money if you know me when i first met my plug i tote my pistol hundred gs i aint comin to get it unless you got a hundred piece i dont want it fuck it your price you need to cut it your ice you need to tuck it she fuck with me she lucky a half a million all 20s in that gucci luggage lets skip the small talk its time to talk numbers young nigga playin with commas might go get a lamb for the summer ive been outchea in these streets all my life hustlin my nigga beefin then im beefin wrong or right im bustin my traphouse i love it put some forces on my old school and i had to cut it but should i put a roof in cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it cut it cut it cut it cut it cut it cut it cut it cut it them bricks is way too hot you need to cut it your price is way too high you need to cut it,2,575,178
92,really really,kevin gates,2016,diamonds really diamonds and im shining bright cause im really grindin they ask me if im real i say is you serious my daughter gon love this bitch here all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really make em believe i made em believe a lyrical song writer and he can sing bringing in money like raking in leaves i was just trying to get paper to sneeze achoo that was a blessing she special to you i dont look at her special actually i treat her regular not being seen we not making no spectacle gates had her first then he gave her to kevin all the above we do all the et cetera scared of the feds had to switch up my cellular he talking reckless dont call me back ever passing thru gardere to holler at glover shout out to black shout out to cedric grey monte carlo cocaine 911 just hollered at trav im like the reverend my section ridiculous watch where you steppin pockets on indigent cant be too careful steve like em tall and when they yellow working in college fresh with low mileage i like em black pretty white teeth body unique booty on fleek jhen� aiko chewing her cheeks groceries please you know that was me all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really diving be treacherous swim pray to god that dont nobody mess with us him keep it strong in case anyone testing us right or wrong if its this you dont mess with it when yo bitch over here i dont mess with her no detective work i dont be questioning where she been trying to read all of her messages i dont speak on no man thats irregular take her phone disconnectin her cellular what you need that for undressin her what you need that for caressin her spreading her legs bout to pleasure her pulling her hair from the back go to pressin her trying to see who tap first made a bet with her relationship flaking no eczema she catching feelings she say we inseparable oyster perpetual its not a replica mustang gt in the streets smoking vegetables trunk in the front do it make me a elephant i really really put syrup in my beverages shopping in beverly check out my etiquette loving my swag women tailor keep checking it carats they glisten in all of my necklaces feeling myself really thought it was evident all my diamonds shine cause they really diamonds bad bitches in line they be really trying they ask me if im high i say really really got money on my mind i say really really i look like i been ballin cause im really ballin i wont apologize im not really sorry they ask me if im lying i say really really im really out my mind i say really really really really,1,613,244
93,all in my head flex,fifth harmony featuring fetty wap,2016,feat fetty wap produced by bryan garcia stargate chorus dinah flex time to impress come and climb in my bed dont be shy do your thing its all in my head verse 1 fetty wap i wanna flex with you baby im tryna chill with you throwing bands at you while we flexing boo baby show me different moves and i love your groove cause its meant to be baby ay make history baby and you the one for me and im the one for you so come flex with me baby verse 2 ally curtains like waves closing in all around us dimming the lights just so that they dont blind us so tongue in cheek when were laying on roses but youre touching my skin and youre leaving me hopeless prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah verse 3 camila curtains like waves closing in all around us yeah yeah yeah dimming the lights just so that they dont blind us ha nah nah so tongue in cheek when were laying on roses but youre touching my skin and youre leaving me hopeless prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah verse 4 fetty wap i want you to come flex with me baby you got what i want and i need it say youre a bad motherfucker and im sayin they cant play with us and you know it i take a hundred thousand and blow it ay another hundred thou and i love her ay come flex with zoo til its over ay come flex with zoo til its over yeah babe prechorus lauren i wanna feel you un feel you under my body i wanna feel you un feel you un chorus dinah normani flex time to impress come and climb in my bed dont be shy do your thing its all in my head flex time to impress come and climb in my bed dont be shy do your thing its all in my head yeah outro fetty wap normani dinah i wanna flex with you baby hey its all in my head zoovier baby its all in my head i wanna flex with you baby its all in my head baby its all in my head,1,490,128
94,starving,hailee steinfeld and grey featuring zedd,2016,you know just what to say shit that scares me i should just walk away but i cant move my feet the more that i know you the more i want to something inside mes changed i was so much younger yesterday oh i didnt know that i was starving til i tasted you dont need no butterflies when you give me the whole damn zoo by the way by the way you do things to my body i didnt know that i was starving til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you you know just how to make my heart beat faster emotional earthquake bring on disaster you hit me head on got me weak in my knees yeah something inside mes changed i was so much younger yesterday aye so much younger yesterday oh yeah i didnt know that i was starving til i tasted you dont need no butterflies when you give me the whole damn zoo by the way by the way you do things to my body i didnt know that i was starving til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you you yeah til i tasted you by the way by the way you do things to my body i didnt know that i was starving til i tasted you the more that i know you the more i want to something inside mes changed i was so much younger yesterday,1,275,68
95,adventure of a lifetime,coldplay,2016,turn your magic on umi shed say everything you wants a dream away and we are legends every day thats what she told me turn your magic on to me shed say everything you wants a dream away under this pressure under this weight we are diamonds now i feel my heart beating i feel my heart underneath my skin and i feel my heart beating oh you make me feel like im alive again alive again oh you make me feel like im alive again said i cant go on not in this way im a dream that died by light of day gonna hold up half the sky and say only i own me and i feel my heart beating i feel my heart underneath my skin oh i can feel my heart beating cause you make me feel like im alive again alive again oh you make me feel like im alive again turn your magic on umi shed say everything you wants a dream away under this pressure under this weight we are diamonds taking shape we are diamonds taking shape if weve only got this life this adventure oh then i and if weve only got this life you get me through and if weve only got this life in this adventure oh then i want to share it with you with you with you yeah i do woohoo woohoo woohoo,1,236,82
96,humble and kind,tim mcgraw,2016,you know theres a light that glows by the front door dont forget the keys under the mat childhood stars shine always stay humble and kind go to church cause your mama says to visit grandpa every chance that you can it wont be a waste of time always stay humble and kind hold the door say please say thank you dont steal dont cheat and dont lie i know you got moutains to climb but always stay humble and kind when the dreams youre dreamin come to you when the work you put in is realized let yourself feel the pride but always stay humble and kind dont expect a free ride from no one dont hold a grudge or a chip and heres why bitterness keeps you from flying always stay humble and kind know the difference between sleeping with someone and sleeping with someone you love i love you aint no pick up line so always stay humble and kind hold the door say please say thank you dont steal dont cheat and dont lie i know you got mountains to climb but always stay humble and kind when those dreams youre dreamin come to you when the work you put in is realized let yourself feel the pride but always stay humble and kind when its hot eat a root beer popsicle shut off the ac and roll the windows down let that summer sun shine always stay humble and kind dont take for granted the love this life gives you when you get where youre goin dont forget turn back around help the next one in line always stay humble and kind,1,277,123
97,wicked,future,2016,wicked tunes you know what im sayin wassup wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked stand up in the motor bust the dashboard stand up in the motor bust the dashboard hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked candles burning money burning graveyard these niggas phantom parkin big dawg barkin hey blood tales on me ohohohoh shawty want that wig ohohohoh im drippin cartier ohohohoh put a gold bird on you thats whats happening i put that lingo on her she was spanish i fill a one liter up with xannies this continental and its panoramic its complimentary to the savages you fuck around with me it be a tragedy i want green green green all asparagus i drink lean lean lean it aint embarassing wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked woah wicked wicked wicked wicked wicked now she going now that bitch going i purchase avion and now she lit huh wedding band rings on me lit huh married to the game im the shit huh woah woah woah woah bitch we made men we aint pullin up in cribs that we cant get you cant pull a bitch on instagram i aint hit huh and then she tellin lies about me cause she aint shit uh she want that bigbig dog status i was in the alley with them nickel bags tallyin now im taliban gang status thats whats happenin and you niggas cant get close cause you dont know me it aint no more dip and dabbin hangin low key these bitches see me and they panic i cant believe it i was on the corner gamblin wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked wicked stand up in the motor bust the dashboard stand up in the motor bust the dashboard wicked wicked wicked wicked wicked hold up wicked wicked wicked wicked,1,342,134
98,tiimmy turner,desiigner,2016,tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy tiimmy tiimmy turner young boy walkin wishin for a burner four five six ten ratchets on em ten niggas with em ten clappin on em dead niggas with em dead niggas get em fourfive rip em fourfive zip em you talk money young niggas get em young niggas get em beluga beluga beluga i fell in love with the ruger i fell in love with my jeweler i fell in love with the mulah banana clips is going through ya its all about the rule its all about the move its all about the rules tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner tiimmy tiimmy turner eh yeah he wish had a burner young nigga move and he kill with confirma you get hit nigga left with earner choppa move nigga both want it you get hit down in both summers i got niggas rollin dat would be dead with it choppa move nigga roll him with it you choke down roll load and get hit a nigga up reload the semi gotta flow over demon thinking all about tiimmy just the thought of them with me all my killas said they with me tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner he was wishin for a burner to kill everybody walkin he knows that his soul in the furnace fuck bitch on bet have her walkin she fuckin for bet wildin for wallet kill everybody walkin he knows that his soul in the furnace tiimmy tiimmy tiimmy turner,1,669,109
99,see you again,wiz khalifa featuring charlie puth,2016,its been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you again damn who knew all the planes we flew good things weve been through that ill be standing right here talking to you bout another path i know we loved to hit the road and laugh but something told me that it wouldnt last had to switch up look at things different see the bigger picture those were the days hard work forever pays now i see you in a better place uh how could we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride its been a long day without you my friend and ill tell you all about it when i see you again i see you again weve come a long way yeah we came a long way from where we began you know we started oh ill tell you all about it when i see you again let me tell you when i see you again aah oh aah oh woooohohohohohoh yeah first you both go out your way and the vibe is feeling strong and whats small turn to a friendship a friendship turn to a bond and that bond will never be broken and the love will never get lost and the love will never get lost and when brotherhood come first then the line will never be crossed established it on our own when that line had to be drawn and that line is what we reach so remember me when im gone remember me when im gone how could we not talk about family when familys all that we got everything i went through you were standing there by my side and now you gon be with me for the last ride so let the light guide your way yeah hold every memory as you go and every road you take will always lead you home home its been a long day without you my friend and ill tell you all about it when i see you again weve come a long way from where we began oh ill tell you all about it when i see you again when i see you again aah oh uh aah oh yeah woooohohohohohoh ya ya when i see you again uh see you again woooohohohohohoh yeah yeah uhhuh when i see you again,1,448,146
